,Date,Campaign Name,Ad Set,Ad,Spend,CPM,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase
0,2024-04-01,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,99,6.12,16185,421,21,7,4
9,2024-04-02,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,85,6.68,12719,585,23,8,7
18,2024-04-03,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,88,5.42,16227,600,33,13,10
27,2024-04-04,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,74,5.65,13095,602,18,6,4
36,2024-04-05,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,79,5.33,14817,667,38,10,7
45,2024-04-06,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,70,6.97,10039,462,27,9,6
54,2024-04-07,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,64,5.82,10990,648,31,9,8
63,2024-04-08,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,80,6.1,13109,433,19,7,4
72,2024-04-09,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,79,6.49,12173,706,36,12,8
81,2024-04-10,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,75,6.26,11989,695,31,10,6
90,2024-04-11,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,71,6.13,11589,371,20,6,5
99,2024-04-12,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,64,6.24,10259,616,25,9,8
108,2024-04-13,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,83,6.58,12609,618,24,7,5
117,2024-04-14,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,69,6.87,10045,372,17,4,3
126,2024-04-15,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,95,5.32,17840,642,36,11,8
135,2024-04-16,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,64,6.03,10605,530,20,7,6
144,2024-04-17,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,67,5.9,11351,568,22,7,6
153,2024-04-18,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,89,5.39,16521,793,44,15,13
162,2024-04-19,2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,88,5.97,14729,825,44,17,12
